participant,niveau,morceau,condition,ordre,tlx_mental,tlx_physique,tlx_temporel,tlx_perf,tlx_effort,tlx_frustration,stai_calme,stai_tendu,stai_emu,stai_decontracte,stai_satisfait,stai_inquiet,se_q7,se_q8,se_q9,se_q10,conf_globale_q11
P01,M,Have You Met Miss Jones,AVEC,2,15,75,15,20,30,10,4,1,1,4,4,1,6,7,7,7,9
P01,M,Beautiful Love,SANS,1,80,85,35,40,85,40,3,4,2,2,3,4,3,3,6,5,6
P02,M,Have You Met Miss Jones,AVEC,2,10,5,25,40,50,0,4,1,2,4,3,1,5,5,6,5,9
P02,M,There Will Never Be Another You,SANS,1,50,5,20,45,50,10,4,2,1,3,3,1,5,6,4,5,8
P03,E,Fly Me To The Moon,AVEC,2,50,15,55,15,60,40,3,2,1,3,2,2,4,2,2,1,5
P03,S,II-V-I in C & F,SANS,1,95,5,5,15,70,95,2,3,4,1,1,3,1,3,3,2,2
P04,P,26-2,AVEC,1,90,20,85,80,90,85,2,4,3,1,2,2,4,3,3,2,3
P04,P,Giant Steps,SANS,2,80,10,75,25,70,15,3,2,1,3,3,1,6,5,3,6,7
P05,M,Have You Met Miss Jones,AVEC,1,20,30,10,20,15,15,3,2,1,4,4,1,5,7,7,6,9
P05,M,There Will Never Be Another You,SANS,2,65,75,80,40,85,65,2,3,3,2,3,3,3,2,5,5,6
P06,E,Fly Me To The Moon,AVEC,2,45,20,25,20,5,15,4,1,1,4,3,1,6,6,6,7,8
P06,E,Blue Bossa,SANS,1,85,60,60,50,75,70,2,4,2,2,2,3,2,2,4,2,3
P07,M,There Will Never Be Another You,AVEC,1,25,20,15,70,50,55,3,2,2,3,2,2,4,5,2,2,6
P07,M,Have You Met Miss Jones,SANS,2,70,75,65,60,65,45,3,2,1,3,3,2,4,4,5,5,7
P08,P,Giant Steps,AVEC,1,70,55,45,55,55,40,3,2,1,3,2,2,4,2,2,3,6
P08,M,There Will Never Be Another You,SANS,2,30,30,15,20,30,5,4,2,2,3,3,1,6,5,3,4,8
