participant,condition,tlx_mental,tlx_physique,tlx_temporel,tlx_perf,tlx_effort,tlx_frustration
P01,SANS,70,30,60,50,65,55
P01,AVEC,45,25,40,40,45,30
P02,SANS,75,35,55,55,60,60
P02,AVEC,50,30,45,45,50,35
P03,SANS,65,28,60,48,68,50
P03,AVEC,40,22,38,42,42,28
P04,SANS,70,32,62,52,65,58
P04,AVEC,48,26,42,41,46,32
P05,SANS,72,30,58,50,66,53
P05,AVEC,44,24,39,40,44,29
P06,SANS,68,31,61,51,64,56
P06,AVEC,46,25,41,42,45,31
P07,SANS,71,29,59,49,67,54
P07,AVEC,43,23,40,40,43,30
P08,SANS,69,33,60,51,65,57
P08,AVEC,45,25,40,41,45,30
